('Corimbatá assado', 100, 19.89, 80.09, 0, 0, 22.30, 0.97, 40.42, 261.45, 5),
('Corimbatá cozido', 100, 20.13, 74.61, 0, 0, 64.68, 0.62, 37.16, 238.69, 5),
('Corvina de água doce crua', 100, 18.91, 73.11, 0, 0, 39.43, 0.25, 45.09, 101.00, 5),
('Corvina do mar crua', 100, 18.57, 67.07, 0, 0, 0, 0.37, 67.97, 94, 5),
('Corvina grande assada', 100, 26.76, 117.05, 0, 0, 60.22, 0.53, 85.35, 146.52, 5),
('Corvina grande cozida', 100, 23.43, 122.55, 0, 0, 69.37, 0.57, 68.39, 100.07, 5),
('Dourado de água doce', 100, 18.81, 51.98, 0, 0, 12.13, 0.15, 40.29, 131.20, 5),
('Lambari congelado cru', 100, 16.81, 158.66, 0, 0, 1181.27, 0.90, 47.92, 130.84, 5),
('Lambari congelado frito', 100, 28.425, 246.32, 0, 0, 1881.03, 0.81, 64.55, 326.86, 5),
('Lambari fresco cru', 100, 15.65, 144.25, 0, 0, 590.72, 0.63, 41.10, 151.59, 5),
('Manjuba com farinha de trigo frita', 100, 23.45, 281.75, 10.24, 0.36, 763.30, 3.04, 36.52, 343.55, 5),
('Manjuba frita', 100, 30.13, 270.34, 0, 0, 575.02, 0.91, 40.61, 349.32, 5)
