00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;270;Polpa de manga congelada                     ;100;48,3;0;12,51;1,07;7,12;0,08;6,73;0,38;3
2;271;Manga tommy atkins                           ;100;50,69;0;12,77;2,06;7,63;0,08;0;0,85;3
2;272;Maracujá                                     ;100;68,43;0;12,26;1,13;5,39;0,56;1,58;1,98;3
2;273;Polpa de maracujá congelada                  ;100;38,75;0;9,59;0,5;4,6;0,29;8,09;0,81;3
2;274;Suco de maracujá concentrado envasado        ;100;41,96;0;9,63;0,35;4,15;0,34;21,69;0,76;3
2;275;Melancia                                     ;100;32,6;0;8,13;0,12;7,72;0,22;0;0,88;3
2;276;Melão                                        ;100;29,36;0;7,52;0,25;2,85;0,23;11,16;0,67;3
2;277;Mexerica murcote                             ;100;57,59;0;14,82;3,07;33,07;0,06;1,16;0,88;3
2;278;Mexerica rio                                 ;100;36,87;0;9,33;2,73;17,18;0,08;1,82;0,65;3
2;279;Morango                                      ;100;30,14;0;6,81;1,72;10,9;0,32;0;0,89;3
2;280;Nêspera                                      ;100;42,53;0;11,52;2,95;19,68;0,14;0;0,3;3
2;281;Pequi                                        ;100;204,96;0;12,97;19,04;32,44;0,27;0;2,33;3
2;282;Pêra park                                    ;100;60,58;0;16,07;2,98;8,71;0,32;0,98;0,23;3
2;283;Pêra williams                                ;100;53,3;0;14,02;3,01;8,27;0,09;0;0,56;3
2;284;Pêssego aurora                               ;100;36,32;0;9,32;1,42;3,23;0,22;0;0,82;3
2;285;Pêssego em caldas enlatado                   ;100;63,14;0;16,88;1,01;4,09;0,6;3,2;0,7;3
2;286;Pinha                                        ;100;88,47;0;22,44;3,35;20,88;0,21;1,33;1,48;3
2;287;Pitanga                                      ;100;41,41;0;10,24;3,23;17,87;0,39;1,7;0,92;3
2;288;Polpa de pitanga congelada                   ;100;19,1;0;4,75;0,73;7,79;0,37;5,02;0,28;3
2;289;Romã                                         ;100;55,73;0;15,1;0,43;4,75;0,25;0,59;0,4;3
2;290;Tamarindo                                    ;100;275,69;0;72,53;6,44;37,1;0,55;0,35;3,2;3
2;291;Tangerina poncã                              ;100;37,83;0;9,6;0,94;12,89;0,11;0;0,84;3
2;292;Suco de tangerina poncã                      ;100;36,1;0;8,8;0;4,2;0;0;0,52;3
2;293;Tucumã                                       ;100;262,01;0;26,47;12,65;46,33;0,56;3,89;2,09;3
2;294;Umbu                                         ;100;37,01;0;9,39;1,98;11,56;0,09;0;0,84;3
2;295;Polpa de umbu congelada                      ;100;33,94;0;8,78;1,33;10,71;0,2;5,77;0,51;3
2;296;Uva itália                                   ;100;52,87;0;13,57;0,92;6,66;0,14;0;0,74;3
